"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Fabrication de pesticides et d'autres produits agrochimiques (NAF rév. 2, niveau groupe, poste 20.2)";"Codes"
"idBank";"010537439";""
"Dernière mise à jour";"03/03/2023 08:45";""
"Période";"";""
"2023-01";"165.99";"A"
"2022-12";"126.34";"A"
"2022-11";"97.48";"A"
"2022-10";"85.82";"A"
"2022-09";"85.73";"A"
"2022-08";"75.25";"A"
"2022-07";"102.35";"A"
"2022-06";"79.96";"A"
"2022-05";"94.96";"A"
"2022-04";"115.52";"A"
"2022-03";"210.09";"A"
"2022-02";"174.57";"A"
"2022-01";"171.83";"A"
"2021-12";"120.18";"A"
"2021-11";"90.05";"A"
"2021-10";"80.03";"A"
"2021-09";"67.54";"A"
"2021-08";"54.7";"A"
"2021-07";"95.5";"A"
"2021-06";"83.06";"A"
"2021-05";"79.66";"A"
"2021-04";"116.2";"A"
"2021-03";"181.22";"A"
"2021-02";"178.54";"A"
"2021-01";"154.7";"A"
"2020-12";"88.18";"A"
"2020-11";"101.63";"A"
"2020-10";"76.66";"A"
"2020-09";"54.66";"A"
"2020-08";"51.45";"A"
"2020-07";"103.18";"A"
"2020-06";"73.96";"A"
"2020-05";"87.78";"A"
"2020-04";"141.04";"A"
"2020-03";"180.12";"A"
"2020-02";"167.42";"A"
"2020-01";"173.15";"A"
"2019-12";"80.9";"A"
"2019-11";"70.33";"A"
"2019-10";"56.82";"A"
"2019-09";"62.09";"A"
"2019-08";"52.12";"A"
"2019-07";"101.88";"A"
"2019-06";"67.27";"A"
"2019-05";"78.61";"A"
"2019-04";"130.84";"A"
"2019-03";"132.97";"A"
"2019-02";"164.04";"A"
"2019-01";"164.79";"A"
"2018-12";"77.98";"A"
"2018-11";"75.57";"A"
"2018-10";"65.78";"A"
"2018-09";"58.66";"A"
"2018-08";"52.99";"A"
"2018-07";"75.3";"A"
"2018-06";"65.74";"A"
"2018-05";"61.76";"A"
"2018-04";"112.48";"A"
"2018-03";"150.79";"A"
"2018-02";"143.89";"A"
"2018-01";"147.53";"A"
"2017-12";"111.99";"A"
"2017-11";"89.51";"A"
"2017-10";"70.13";"A"
"2017-09";"61.96";"A"
"2017-08";"58.78";"A"
"2017-07";"96.82";"A"
"2017-06";"65.64";"A"
"2017-05";"71.86";"A"
"2017-04";"118.82";"A"
"2017-03";"172.99";"A"
"2017-02";"168.45";"A"
"2017-01";"161.45";"A"
"2016-12";"102.13";"A"
"2016-11";"87.64";"A"
"2016-10";"61.98";"A"
"2016-09";"53.87";"A"
"2016-08";"71.69";"A"
"2016-07";"100.76";"A"
"2016-06";"68.68";"A"
"2016-05";"70.36";"A"
"2016-04";"99.44";"A"
"2016-03";"122.92";"A"
"2016-02";"154.4";"A"
"2016-01";"135.49";"A"
"2015-12";"124.2";"A"
"2015-11";"94.39";"A"
"2015-10";"56.88";"A"
"2015-09";"62.11";"A"
"2015-08";"56.46";"A"
"2015-07";"90.94";"A"
"2015-06";"56.45";"A"
"2015-05";"60.68";"A"
"2015-04";"110.42";"A"
"2015-03";"178.21";"A"
"2015-02";"162.07";"A"
"2015-01";"147.19";"A"
"2014-12";"94.95";"A"
"2014-11";"67.75";"A"
"2014-10";"61.79";"A"
"2014-09";"69.42";"A"
"2014-08";"64.03";"A"
"2014-07";"95.38";"A"
"2014-06";"59.04";"A"
"2014-05";"70.49";"A"
"2014-04";"141.48";"A"
"2014-03";"155.95";"A"
"2014-02";"151.08";"A"
"2014-01";"148.57";"A"
"2013-12";"117.59";"A"
"2013-11";"92.51";"A"
"2013-10";"70.03";"A"
"2013-09";"71.63";"A"
"2013-08";"59.36";"A"
"2013-07";"86.56";"A"
"2013-06";"63.49";"A"
"2013-05";"81.02";"A"
"2013-04";"119.89";"A"
"2013-03";"138.05";"A"
"2013-02";"149.74";"A"
"2013-01";"139.07";"A"
"2012-12";"107.1";"A"
"2012-11";"84.27";"A"
"2012-10";"67.13";"A"
"2012-09";"55.22";"A"
"2012-08";"62.14";"A"
"2012-07";"77.22";"A"
"2012-06";"68.08";"A"
"2012-05";"78.45";"A"
"2012-04";"113.17";"A"
"2012-03";"169.64";"A"
"2012-02";"142.8";"A"
"2012-01";"117.69";"A"
"2011-12";"91.9";"A"
"2011-11";"84.34";"A"
"2011-10";"55.24";"A"
"2011-09";"55.65";"A"
"2011-08";"55.82";"A"
"2011-07";"63.02";"A"
"2011-06";"61.85";"A"
"2011-05";"72.55";"A"
"2011-04";"106.71";"A"
"2011-03";"162.98";"A"
"2011-02";"116.33";"A"
"2011-01";"95.72";"A"
"2010-12";"88.31";"A"
"2010-11";"61.16";"A"
"2010-10";"40.9";"A"
"2010-09";"42.81";"A"
"2010-08";"36.77";"A"
"2010-07";"59.89";"A"
"2010-06";"49.2";"A"
"2010-05";"59.79";"A"
"2010-04";"80.13";"A"
"2010-03";"127.29";"A"
"2010-02";"99.09";"A"
"2010-01";"67.54";"A"
"2009-12";"91.08";"A"
"2009-11";"52.54";"A"
"2009-10";"36.32";"A"
"2009-09";"35.44";"A"
"2009-08";"33.81";"A"
"2009-07";"56.69";"A"
"2009-06";"29.19";"A"
"2009-05";"40.5";"A"
"2009-04";"52.45";"A"
"2009-03";"103.87";"A"
"2009-02";"94.9";"A"
"2009-01";"115.43";"A"
"2008-12";"63.86";"A"
"2008-11";"60.96";"A"
"2008-10";"48.46";"A"
"2008-09";"39.33";"A"
"2008-08";"37.2";"A"
"2008-07";"52.63";"A"
"2008-06";"45.62";"A"
"2008-05";"42.79";"A"
"2008-04";"67.8";"A"
"2008-03";"85.46";"A"
"2008-02";"89.26";"A"
"2008-01";"87.86";"A"
"2007-12";"45.86";"A"
"2007-11";"48.16";"A"
"2007-10";"48.26";"A"
"2007-09";"41.51";"A"
"2007-08";"32.0";"A"
"2007-07";"51.44";"A"
"2007-06";"36.67";"A"
"2007-05";"51.05";"A"
"2007-04";"58.13";"A"
"2007-03";"72.72";"A"
"2007-02";"67.95";"A"
"2007-01";"62.92";"A"
"2006-12";"62.51";"A"
"2006-11";"52.55";"A"
"2006-10";"45.75";"A"
"2006-09";"44.09";"A"
"2006-08";"25.35";"A"
"2006-07";"49.83";"A"
"2006-06";"39.08";"A"
"2006-05";"46.35";"A"
"2006-04";"63.75";"A"
"2006-03";"106.09";"A"
"2006-02";"86.41";"A"
"2006-01";"67.99";"A"
"2005-12";"54.93";"A"
"2005-11";"57.67";"A"
"2005-10";"53.63";"A"
"2005-09";"46.98";"A"
"2005-08";"29.85";"A"
"2005-07";"47.74";"A"
"2005-06";"47.39";"A"
"2005-05";"56.72";"A"
"2005-04";"80.69";"A"
"2005-03";"105.32";"A"
"2005-02";"88.5";"A"
"2005-01";"79.43";"A"
"2004-12";"69.46";"A"
"2004-11";"57.61";"A"
"2004-10";"64.4";"A"
"2004-09";"49.47";"A"
"2004-08";"31.17";"A"
"2004-07";"58.94";"A"
"2004-06";"51.1";"A"
"2004-05";"57.74";"A"
"2004-04";"80.13";"A"
"2004-03";"108.26";"A"
"2004-02";"91.62";"A"
"2004-01";"73.21";"A"
"2003-12";"78.76";"A"
"2003-11";"51.78";"A"
"2003-10";"44.51";"A"
"2003-09";"41.28";"A"
"2003-08";"25.09";"A"
"2003-07";"48.51";"A"
"2003-06";"40.37";"A"
"2003-05";"49.49";"A"
"2003-04";"63.7";"A"
"2003-03";"104.29";"A"
"2003-02";"79.18";"A"
"2003-01";"62.68";"A"
"2002-12";"88.83";"A"
"2002-11";"71.52";"A"
"2002-10";"78.37";"A"
"2002-09";"61.65";"A"
"2002-08";"40.89";"A"
"2002-07";"79.09";"A"
"2002-06";"50.85";"A"
"2002-05";"53.46";"A"
"2002-04";"80.58";"A"
"2002-03";"121.99";"A"
"2002-02";"91.41";"A"
"2002-01";"84.37";"A"
"2001-12";"106.78";"A"
"2001-11";"79.99";"A"
"2001-10";"73.07";"A"
"2001-09";"48.54";"A"
"2001-08";"40.94";"A"
"2001-07";"81.3";"A"
"2001-06";"71.14";"A"
"2001-05";"72.5";"A"
"2001-04";"91.44";"A"
"2001-03";"132.34";"A"
"2001-02";"122.49";"A"
"2001-01";"102.24";"A"
"2000-12";"128.82";"A"
"2000-11";"93.52";"A"
"2000-10";"83.25";"A"
"2000-09";"59.29";"A"
"2000-08";"56.6";"A"
"2000-07";"79.29";"A"
"2000-06";"63.42";"A"
"2000-05";"80.29";"A"
"2000-04";"88.65";"A"
"2000-03";"132.54";"A"
"2000-02";"129.91";"A"
"2000-01";"116.35";"A"
"1999-12";"161.71";"A"
"1999-11";"110.24";"A"
"1999-10";"82.89";"A"
"1999-09";"72.94";"A"
"1999-08";"59.39";"A"
"1999-07";"98.36";"A"
"1999-06";"82.01";"A"
"1999-05";"68.8";"A"
"1999-04";"91.85";"A"
"1999-03";"144.5";"A"
"1999-02";"117.57";"A"
"1999-01";"125.73";"A"
"1998-12";"126.21";"A"
"1998-11";"92.81";"A"
"1998-10";"84.23";"A"
"1998-09";"68.85";"A"
"1998-08";"45.77";"A"
"1998-07";"92.3";"A"
"1998-06";"60.45";"A"
"1998-05";"74.96";"A"
"1998-04";"89.54";"A"
"1998-03";"95.16";"A"
"1998-02";"144.22";"A"
"1998-01";"129.94";"A"
"1997-12";"122.83";"A"
"1997-11";"90.39";"A"
"1997-10";"84.92";"A"
"1997-09";"65.39";"A"
"1997-08";"47.05";"A"
"1997-07";"83.29";"A"
"1997-06";"40.52";"A"
"1997-05";"54.14";"A"
"1997-04";"88.88";"A"
"1997-03";"130.18";"A"
"1997-02";"153.38";"A"
"1997-01";"133.74";"A"
"1996-12";"111.76";"A"
"1996-11";"73.8";"A"
"1996-10";"78.21";"A"
"1996-09";"58.2";"A"
"1996-08";"44.21";"A"
"1996-07";"65.76";"A"
"1996-06";"60.06";"A"
"1996-05";"65.16";"A"
"1996-04";"81.53";"A"
"1996-03";"110.52";"A"
"1996-02";"113.72";"A"
"1996-01";"144.74";"A"
"1995-12";"141.48";"A"
"1995-11";"89.4";"A"
"1995-10";"58.37";"A"
"1995-09";"54.18";"A"
"1995-08";"33.69";"A"
"1995-07";"54.67";"A"
"1995-06";"52.67";"A"
"1995-05";"50.69";"A"
"1995-04";"67.24";"A"
"1995-03";"125.8";"A"
"1995-02";"105.13";"A"
"1995-01";"118.39";"A"
"1994-12";"134.2";"A"
"1994-11";"106.41";"A"
"1994-10";"77.24";"A"
"1994-09";"51.5";"A"
"1994-08";"40.21";"A"
"1994-07";"61.28";"A"
"1994-06";"45.68";"A"
"1994-05";"64.25";"A"
"1994-04";"87.24";"A"
"1994-03";"135.35";"A"
"1994-02";"106.6";"A"
"1994-01";"114.66";"A"
"1993-12";"120.3";"A"
"1993-11";"108.68";"A"
"1993-10";"86.85";"A"
"1993-09";"52.92";"A"
"1993-08";"26.72";"A"
"1993-07";"57.78";"A"
"1993-06";"71.75";"A"
"1993-05";"55.33";"A"
"1993-04";"72.31";"A"
"1993-03";"99.12";"A"
"1993-02";"101.94";"A"
"1993-01";"103.76";"A"
"1992-12";"117.73";"A"
"1992-11";"91.87";"A"
"1992-10";"78.67";"A"
"1992-09";"53.95";"A"
"1992-08";"26.69";"A"
"1992-07";"57.59";"A"
"1992-06";"49.55";"A"
"1992-05";"43.75";"A"
"1992-04";"52.33";"A"
"1992-03";"89.21";"A"
"1992-02";"89.03";"A"
"1992-01";"107.38";"A"
"1991-12";"104.12";"A"
"1991-11";"99.32";"A"
"1991-10";"87.99";"A"
"1991-09";"67.31";"A"
"1991-08";"27.43";"A"
"1991-07";"63.8";"A"
"1991-06";"45.44";"A"
"1991-05";"41.07";"A"
"1991-04";"64.79";"A"
"1991-03";"113.39";"A"
"1991-02";"109.63";"A"
"1991-01";"129.87";"A"
"1990-12";"91.79";"A"
"1990-11";"95.95";"A"
"1990-10";"83.79";"A"
"1990-09";"55.79";"A"
"1990-08";"30.18";"A"
"1990-07";"65.58";"A"
"1990-06";"59.77";"A"
"1990-05";"60.22";"A"
"1990-04";"66.41";"A"
"1990-03";"119.72";"A"
"1990-02";"119.12";"A"
"1990-01";"137.9";"A"
